"Título del producto",SKU,"Artículos vendidos","Ingresos netos",Pedidos,Categoría,Variaciones,Estado,Inventario
"Caballete (borrado)",,48880,48880,5,"Cubiertas y Teja de Zinc, Cielo Rasos y Revestimientos, Muros, Perfiles, Entrepisos, Tuberías, Lámina Galvanizada",0,N/D,N/D
"Caballete (borrado)",,13108,13108,5,"Cubiertas y Teja de Zinc, Cielo Rasos y Revestimientos, Muros, Perfiles, Entrepisos, Tuberías, Lámina Galvanizada",0,N/D,N/D
"Cubierta La Guerrera (borrado)",,5030,11800,2,"Cubiertas y Teja de Zinc, Cielo Rasos y Revestimientos, Muros, Perfiles, Entrepisos, Tuberías, Lámina Galvanizada",0,N/D,N/D
"Tapa Metaldeck (borrado)",,2400,12400,3,"Cubiertas y Teja de Zinc, Cielo Rasos y Revestimientos, Muros, Perfiles, Entrepisos, Tuberías, Lámina Galvanizada",0,N/D,N/D
"Omega Regular (borrado)",,2050,12058.82,1,"Cubiertas y Teja de Zinc, Cielo Rasos y Revestimientos, Muros, Perfiles, Entrepisos, Tuberías, Lámina Galvanizada",0,N/D,N/D
"Tubería Cerramiento Redonda (borrado)",,1583,18617.51,11,"Cubiertas y Teja de Zinc, Cielo Rasos y Revestimientos, Muros, Perfiles, Entrepisos, Tuberías, Lámina Galvanizada",0,N/D,N/D
"Tubería Cerramiento Redonda (borrado)",,1100,12224.37,2,"Cubiertas y Teja de Zinc, Cielo Rasos y Revestimientos, Muros, Perfiles, Entrepisos, Tuberías, Lámina Galvanizada",0,N/D,N/D
"Cubierta La Guerrera (borrado)",,1000,20000,2,"Cubiertas y Teja de Zinc, Cielo Rasos y Revestimientos, Muros, Perfiles, Entrepisos, Tuberías, Lámina Galvanizada",0,N/D,N/D
"Tubería Cerramiento Redonda (borrado)",,670,10168.06,9,"Cubiertas y Teja de Zinc, Cielo Rasos y Revestimientos, Muros, Perfiles, Entrepisos, Tuberías, Lámina Galvanizada",0,N/D,N/D
"Cubierta La Guerrera (borrado)",,421,6813.49,14,"Cubiertas y Teja de Zinc, Cielo Rasos y Revestimientos, Muros, Perfiles, Entrepisos, Tuberías, Lámina Galvanizada",0,N/D,N/D
"Teja de Zinc (borrado)",,400,2000,2,"Cubiertas y Teja de Zinc, Cielo Rasos y Revestimientos, Muros, Perfiles, Entrepisos, Tuberías, Lámina Galvanizada",0,N/D,N/D
"Tapa Metaldeck (borrado)",,400,3200,2,"Cubiertas y Teja de Zinc, Cielo Rasos y Revestimientos, Muros, Perfiles, Entrepisos, Tuberías, Lámina Galvanizada",0,N/D,N/D
"Omega Regular (borrado)",,380,2747.9,2,"Cubiertas y Teja de Zinc, Cielo Rasos y Revestimientos, Muros, Perfiles, Entrepisos, Tuberías, Lámina Galvanizada",0,N/D,N/D
"Cubierta La Guerrera (borrado)",,201,2010,3,"Cubiertas y Teja de Zinc, Cielo Rasos y Revestimientos, Muros, Perfiles, Entrepisos, Tuberías, Lámina Galvanizada",0,N/D,N/D
"Cubierta La Guerrera (borrado)",,151,906,1,"Cubiertas y Teja de Zinc, Cielo Rasos y Revestimientos, Muros, Perfiles, Entrepisos, Tuberías, Lámina Galvanizada",0,N/D,N/D
"Tapa Metaldeck",,150,7142.85,3,Entrepisos,1,N/D,N/D
"Rollo Galvanizado (borrado)",,132,1188,1,"Cubiertas y Teja de Zinc, Cielo Rasos y Revestimientos, Muros, Perfiles, Entrepisos, Tuberías, Lámina Galvanizada",0,N/D,N/D
"Rollo Galvanizado (borrado)",,101,308,1,"Cubiertas y Teja de Zinc, Cielo Rasos y Revestimientos, Muros, Perfiles, Entrepisos, Tuberías, Lámina Galvanizada",0,N/D,N/D
"Master 1000 (borrado)",,67,1522.08,5,"Cubiertas y Teja de Zinc, Cielo Rasos y Revestimientos, Muros, Perfiles, Entrepisos, Tuberías, Lámina Galvanizada",0,N/D,N/D
"Master 1000 (borrado)",,62,2188.23,3,"Cubiertas y Teja de Zinc, Cielo Rasos y Revestimientos, Muros, Perfiles, Entrepisos, Tuberías, Lámina Galvanizada",0,N/D,N/D
"Master 1000 (borrado)",,32,52,1,"Cubiertas y Teja de Zinc, Cielo Rasos y Revestimientos, Muros, Perfiles, Entrepisos, Tuberías, Lámina Galvanizada",0,N/D,N/D
"Caballete (borrado)",,21,21,1,"Cubiertas y Teja de Zinc, Cielo Rasos y Revestimientos, Muros, Perfiles, Entrepisos, Tuberías, Lámina Galvanizada",0,N/D,N/D
Caballete,,9,7.56,3,"Cubiertas y Teja de Zinc",9,N/D,N/D
"Rollo Galvanizado",,7,33.61,2,"Lámina Galvanizada",15,N/D,N/D
"Cubierta La Guerrera",,6,9.24,1,"Cubiertas y Teja de Zinc",6,N/D,N/D
"Tapa Metaldeck (borrado)",,6,24,1,"Cubiertas y Teja de Zinc, Cielo Rasos y Revestimientos, Muros, Perfiles, Entrepisos, Tuberías, Lámina Galvanizada",0,N/D,N/D
"Master 1000 (borrado)",,5,30,1,"Cubiertas y Teja de Zinc, Cielo Rasos y Revestimientos, Muros, Perfiles, Entrepisos, Tuberías, Lámina Galvanizada",0,N/D,N/D
Lámina,,4,6.72,1,"Lámina Galvanizada",12,N/D,N/D
"Cubierta Master 1000 (borrado)",,4,23.53,2,"Cubiertas y Teja de Zinc, Cielo Rasos y Revestimientos, Muros, Perfiles, Entrepisos, Tuberías, Lámina Galvanizada",0,N/D,N/D
"Tubería Cerramiento Redonda",,3,32.77,1,Tuberías,17,N/D,N/D
"Cubierta La Guerrera (borrado)",,2,8,2,"Cubiertas y Teja de Zinc, Cielo Rasos y Revestimientos, Muros, Perfiles, Entrepisos, Tuberías, Lámina Galvanizada",0,N/D,N/D
Ángulo,,2,15.12,2,"Cielo Rasos y Revestimientos",8,N/D,N/D
"Ángulo (borrado)",,2,15.12,2,"Cubiertas y Teja de Zinc, Cielo Rasos y Revestimientos, Muros, Perfiles, Entrepisos, Tuberías, Lámina Galvanizada",0,N/D,N/D
"Ángulo (borrado)",,2,12.6,2,"Cubiertas y Teja de Zinc, Cielo Rasos y Revestimientos, Muros, Perfiles, Entrepisos, Tuberías, Lámina Galvanizada",0,N/D,N/D
"Tapa Metaldeck (borrado)",,2,10,1,"Cubiertas y Teja de Zinc, Cielo Rasos y Revestimientos, Muros, Perfiles, Entrepisos, Tuberías, Lámina Galvanizada",0,N/D,N/D
"Caballete (borrado)",,2,2,2,"Cubiertas y Teja de Zinc, Cielo Rasos y Revestimientos, Muros, Perfiles, Entrepisos, Tuberías, Lámina Galvanizada",0,N/D,N/D
"Tapa Metaldeck (borrado)",,2,10,1,"Cubiertas y Teja de Zinc, Cielo Rasos y Revestimientos, Muros, Perfiles, Entrepisos, Tuberías, Lámina Galvanizada",0,N/D,N/D
"Perfil en C",,2,12.6,2,Perfiles,12,N/D,N/D
"Tapa Metaldeck",,1,5.04,1,Entrepisos,1,N/D,N/D
"Ángulo (borrado)",,1,7.56,1,"Cubiertas y Teja de Zinc, Cielo Rasos y Revestimientos, Muros, Perfiles, Entrepisos, Tuberías, Lámina Galvanizada",0,N/D,N/D
"Cubierta La Guerrera (borrado)",,1,3,1,"Cubiertas y Teja de Zinc, Cielo Rasos y Revestimientos, Muros, Perfiles, Entrepisos, Tuberías, Lámina Galvanizada",0,N/D,N/D
"Cubierta La Guerrera",,1,4.2,1,"Cubiertas y Teja de Zinc",6,N/D,N/D
"Lámina (borrado)",,1,1,1,"Cubiertas y Teja de Zinc, Cielo Rasos y Revestimientos, Muros, Perfiles, Entrepisos, Tuberías, Lámina Galvanizada",0,N/D,N/D
"Perfil en C (borrado)",,1,5.88,1,"Cubiertas y Teja de Zinc, Cielo Rasos y Revestimientos, Muros, Perfiles, Entrepisos, Tuberías, Lámina Galvanizada",0,N/D,N/D
"Tubería Cerramiento Redonda (borrado)",,1,5.04,1,"Cubiertas y Teja de Zinc, Cielo Rasos y Revestimientos, Muros, Perfiles, Entrepisos, Tuberías, Lámina Galvanizada",0,N/D,N/D
"Metaldeck 2""",,1,1.68,1,Entrepisos,9,N/D,N/D
"Caballete (borrado)",,1,1,1,"Cubiertas y Teja de Zinc, Cielo Rasos y Revestimientos, Muros, Perfiles, Entrepisos, Tuberías, Lámina Galvanizada",0,N/D,N/D
Canaleta,,1,3.36,1,"Cubiertas y Teja de Zinc",2,N/D,N/D
"Canaleta (borrado)",,1,3.36,1,"Cubiertas y Teja de Zinc, Cielo Rasos y Revestimientos, Muros, Perfiles, Entrepisos, Tuberías, Lámina Galvanizada",0,N/D,N/D
